cname,gdppc,polity2,g_effective
Afghanistan,1928,-1,-1.3229887
Albania,10947,9,0.010404494
Algeria,13024,2,-0.50032336
Andorra,,,1.7874973
Angola,8631,-2,-1.0000916
Antigua and Barbuda,,,0.22759423
Azerbaijan,16045,-7,-0.25728205
Argentina,19316,9,-0.07490325
Australia,44336,10,1.5648035
Austria,44845,10,1.479388
Bahamas,,,0.71292996
Bahrain,39197,-10,0.5599696
Bangladesh,3068,1,-0.72357923
Armenia,9552,5,-0.16071257
Barbados,10030,,1.0253924
Belgium,39531,8,1.4386976
Bhutan,,5,0.40649128
Bolivia,5969,7,-0.65194434
Bosnia and Herzegovina,10305,,-0.54520917
Botswana,14626,8,0.49742386
Brazil,15377,8,-0.18399613
Belize,,,-0.68415415
Solomon Islands,,8,-1.0243671
Brunei,,,1.0601705
Bulgaria,17254,9,0.20881648
Myanmar,5834,2,-1.2386076
Burundi,723,-1,-1.1590047
Belarus,19306,-7,-0.45877218
Cambodia,3139,2,-0.69941306
Cameroon,2754,-4,-0.77331048
Canada,42844,10,1.7623708
Cape Verde,6358,10,0.14783576
Central African Republic,605,0,-1.7847171
Sri Lanka,10734,6,-0.00914478
Chad,2387,-2,-1.4610709
Chile,21340,10,1.0863239
China,12002,-7,0.40801734
Taiwan,41805,10,1.3960168
Colombia,12858,7,-0.036017831
Comoros,1706,9,-1.5220474
Congo,4526,-4,-1.0221814
"Congo, Democratic Republic",836,5,-1.6292524
Costa Rica,13568,10,0.37576279
Croatia,20905,9,0.51401335
Cuba,7889,-7,0.02187958
Cyprus (1975-),25903,10,1.0488374
Czech Republic,30410,9,1.0467269
Benin,2141,7,-0.6212042
Denmark,44939,10,1.8482268
Dominica,9537,,0.1174361
Dominican Republic,13382,8,-0.35723585
Ecuador,10914,5,-0.4422617
El Salvador,8163,8,-0.23549879
Equatorial Guinea,35743,-6,-1.4178815
Ethiopia (1993-),1576,-3,-0.6466611
Eritrea,,-7,-1.5933083
Estonia,25790,9,1.0681974
Fiji,,2,-0.29120353
Finland,37920,10,1.8133057
France (1963-),38448,9,1.437053
Djibouti,3258,3,-0.95430905
Gabon,14315,3,-0.73356396
Georgia,10198,7,0.40468311
Gambia,1948,-5,-0.90346164
Germany,46426,10,1.7371173
Ghana,3687,8,-0.25123566
Kiribati,,,-0.48976177
Greece,24545,10,0.25619912
Grenada,,,-0.19617471
Guatemala,7055,8,-0.71100181
Guinea,1606,4,-1.1424235
Guyana,,7,-0.33540627
Haiti,1649,0,-2.016381
Honduras,4352,7,-0.82153916
Hungary,23539,10,0.49741441
Iceland,40572,,1.4923415
India,5639,9,0.09046378
Indonesia,10099,9,-0.24053334
Iran,15039,-7,-0.20882455
Iraq,13087,6,-1.2464466
Ireland,53372,10,1.5333488
Israel,31729,6,1.3880346
Italy,34673,10,0.44811019
Cote d'Ivoire,3473,4,-0.68176073
Jamaica,7115,9,0.24875952
Japan,36030,10,1.7848125
Kazakhstan,23408,-6,-0.073210396
Jordan,11738,-3,0.12261171
Kenya,3090,9,-0.29414168
"Korea, North",1720,-10,-1.632668
"Korea, South",35316,8,1.0126078
Kuwait,68127,-7,-0.033110809
Kyrgyzstan,5910,7,-0.91448379
Laos,6001,-7,-0.51050466
Lebanon,12665,6,-0.47422698
Lesotho,2954,8,-0.68434066
Latvia,22724,8,1.0896661
Liberia,798,6,-1.3938906
Libya,8514,0,-1.6531652
Liechtenstein,,,1.6893317
Lithuania,25279,10,1.1851659
Luxembourg,67804,10,1.7243637
Madagascar,1288,6,-1.2981685
Malawi,960,6,-0.67316061
Malaysia (1966-),22075,5,0.94916385
Maldives,,,-0.37579274
Mali,1563,5,-0.93202418
Malta,26577,,0.85062629
Mauritania,3323,-2,-1.0268781
Mauritius,18259,10,1.0494409
Mexico,15766,8,0.20970473
Monaco,,,
Mongolia,11139,10,-0.41869006
Moldova,5569,9,-0.6546551
Montenegro,17738,9,0.15574734
Morocco,7577,-4,-0.061943848
Mozambique,1277,5,-0.74626631
Oman,37096,-8,0.081546336
Namibia,11850,6,0.25377521
Nauru,,,-0.53627837
Nepal,2607,6,-1.0536406
Netherlands,48463,10,1.8328035
Vanuatu,,,-0.78360128
New Zealand,33445,10,1.8846775
Nicaragua,4699,9,-0.81587517
Niger,895,6,-0.60598773
Nigeria,5540,7,-0.96267271
Norway,76305,10,1.8647991
Micronesia,,,-0.3969363
Marshall Islands,,,-1.6012038
Palau,,,-0.53627837
Pakistan (1971-),5056,7,-0.66747302
Panama,20809,9,0.29233739
Papua New Guinea,,5,-0.60648978
Paraguay,8364,9,-0.94836968
Peru,11215,9,-0.27690369
Philippines,6870,8,0.11236677
Poland,25310,10,0.79897565
Portugal,27255,10,1.2205762
Guinea-Bissau,1313,6,-1.6131402
Timor-Leste,,8,-1.0455244
Qatar,139542,-10,0.95512664
Romania,20549,9,-0.056023832
Russia,23118,4,-0.20435052
Rwanda,1676,-3,-0.045735646
St Kitts and Nevis,,,0.1174361
St Lucia,10687,,-0.079123132
St Vincent and the Grenadines,,,0.029985474
San Marino,,,
Sao Tome and Principe,3560,,-0.75087088
Saudi Arabia,47737,-10,0.20006691
Senegal,2446,7,-0.45029727
Serbia,13556,8,0.11124381
Seychelles,23984,,0.4230102
Sierra Leone,1033,7,-1.2797055
Singapore,67110,-2,2.2367561
Slovakia,25896,10,0.83792001
Vietnam,5733,-7,0.067519069
Slovenia,28077,10,0.97262871
Somalia,,5,-2.1969631
South Africa,12054,9,0.26167539
Zimbabwe,1759,4,-1.1557114
Spain,33376,10,1.1742657
South Sudan,,0,-2.1631794
Sudan (2012-),3723,-4,-1.4623939
Suriname,,5,-0.34576523
Eswatini (former Swaziland),7726,-9,-0.53864646
Sweden,43464,10,1.8161975
Switzerland,61476,10,1.9983659
Syria,3509,-9,-1.5904602
Tajikistan,3365,-3,-0.84822345
Thailand,13938,-3,0.35027757
Togo,1482,-2,-1.1894482
Tonga,,,-0.33013794
Trinidad and Tobago,30892,10,0.23260096
United Arab Emirates,69237,-8,1.5098718
Tunisia,10608,7,-0.10331275
Turkey,20808,3,0.22311984
Turkmenistan,21262,-8,-0.85044879
Tuvalu,,,-0.96350503
Uganda,1883,-1,-0.48569322
Ukraine,9429,4,-0.52352363
Macedonia,13586,9,0.11849307
Egypt,11236,-4,-0.75222075
United Kingdom,38749,10,1.7440324
Tanzania,2429,3,-0.61055547
United States,52591,10,1.463782
Burkina Faso,1527,6,-0.58661765
Uruguay,19668,10,0.52902639
Uzbekistan,9107,-9,-0.6717844
Venezuela,16257,4,-1.219932
Samoa,,,0.50867271
Yemen,2496,0,-1.6271526
Zambia,3537,7,-0.56007975
